,VARIETY,BOTANICAL_NAME,PRONUNCIATION,ALIASES,DESCRIPTION,ZONE,MIN_TEMP,DIFFICULTY,HEIGHT,SPREAD,GROWTH_RATE,COMPANION_PLANTS,BLOOMING_FRUITING,SUMMER_FOLIAGE,FALL_FOLIAGE,FLOWER_COLOR,USES_CHARACTERISTICS,PRICE,DEER_RESISTANT,DROUGHT_TOLERANT,ATTRACTS_POLLINATORS,GROUND_COVER,OTHER
238,Mellow Yellows Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,24-30”,12-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
239,Moab Sunset Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,12-18”,10-14”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
240,Now Cheesier Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,24-30”,18-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
241,Pow Wow White Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,20-30”,12-18”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
242,Pow Wow White Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,20-30”,12-18”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,4.5,,,,,
243,Pow Wow Wildberry Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,20-30”,12-18”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
244,Pow Wow Wildberry Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,20-30”,12-18”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,4.5,,,,,
245,Sombrero Series Hot Coral Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,20-24”,18-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
246,Sombrero Series Sangrita Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,18-20”,22-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
247,Sombrero Series Tres Amigos Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,18-20”,22-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
248,Sunseekers Series Double Salmon Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,12-16”,18-24”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
249,Tiki Torch Echinacea,Echinacea purpurea,eck-i-NAY-sha purr-purr-EE-uh,,Daisy-type flowers. The petal rays droop from the large conical crown. Coneflower prefers moderate to slightly dry conditions.,4,-30°,,29-36”,18-23”,,,Summer - Fall,,,,Deer Resistant; Attracts Butterflies; drought tolerant when established,12,,,,,
250,Globe Thistle,Echinops,,,"The distinctive silver-blue foliage of this beautiful plant makes astriking counterpoint to other perennials in borders, rock gardens andeven containers. Topped with numerous flower spikes.",2,-50°,,"24-36""","24-36""",,,,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established.",10,,,,,
251,Azure Fairy Fleabane Daisy,Erigeron speciosus,,,"Very showy, semi-double, aster-like flowers over compact gray-green foliage. Great choice for shady areas in the garden. Low growing & spreading with clusters of lavender, daisy-type petals and yellow center.",4,-30°,,20-24”,18-24”,,,Spring-frost,,,,Attracts Butterflies; deadhead for continued blooming,4.5,,,,,
252,Jade Frost Sea Holly,Eryngium planum,,,"These plants are hairless, usually have spiny leaves with tight dome shaped umbels of flowers resembling thistles. They can tolerate hot, dry sites and soils high in salts.",3,-40°,,24-30”,12-14”,,,Summer,,,,"Attracts Butterflies, hummingbirds; Drought tolerant when established.",12,,,,,
253,Bonfire Spurge Euphorbia,Euphorbia polychroma,,Cushion spurge; Chrome spurge,"One of the most colorful euphorbias on the market. The top growth is a combination of deep purple, red and orange leaves with a touch of chartreuse. Undergrowth is green. Foliage deepens to burgundy red in the summer. Turns rich red in the fall. Blooms late spring with sulfur yellow bracts that light up the whole plant.",4,-30°,,10-12”,12-18”,,,Spring - Early summer,,,,Attracts Butterflies; Deer Resistant; drought tolerant when established; massed; POISONOUS,9,,,,,
254,Euphorbia,Euphorbia polychroma,,Cushion spurge; Chrome spurge,"Electric yellow bracts bloom on a low cushion in April and persist, but gently fade as the stems elongate to form a short mound by mid-summer. The foliage changes to shades of red, orange and purple in the autumn.",4,-30°,,10-12”,12-18”,,,Spring - Early summer,,,,Attracts Butterflies; Deer Resistant; drought tolerant when established; massed; POISONOUS,9,,,,,
255,Elijah Blue Grass,Festuca Glauca,,,"Tan spikes appear in early summer. Excellent for mass planting, edging, or in the rock garden. Clumps are easily divided in early spring, and this should be done every 2 to 3 years. Evergreen in mild areas, in colder winter regions the leaves should be trimmed back in late winter right to the base. Flower spikes may also be removed in summer, if desired.",3,-40°,,8-10”,8-12”,,,Late Spring - Early Summer.,,,,Attracts Butterflies; Border; Containers; Deer Resistant; Drought Tolerant; Evergreen; Massed,0,,,,,
256,Lipstick Strawberry,Fragaria,fruh-gar-EE-uh,Alpine Strawberry,"Ornamental, wild, small fruited strawberry with an everbearing habit and elusive strawberry flavor. Blooms in late spring through summer. Runnerless. Hybrid.",3,-40°,,6-Apr,12-36”,,,Spring - Summer,,,,"Attracts Butterflies; Ground cover; Great for stabilizing embankments and as a decoy for birds, to protect other berries.",10,,,,,
257,Alexandria Strawberry,Fragaria vesca,fruh-gar-EE-uh ves-CUH,Alpine Strawberry,"Ornamental, wild, small fruited strawberry with an everbearing habit and elusive strawberry flavor. Blooms in late spring through summer. Runnerless.",3,-40°,,6-Apr,10-12”,,,Spring - Summer,,,,"Attracts Butterflies; Ground cover; Great for stabilizing embankments and as a decoy for birds, to protect other berries.",4.5,,,,,
258,Arizona Series Apricot Gaillardia,Gaillardia aristata,gay-LAR-dee-uh ar-iss-TAY-tuh,Blanket Flower,These plants require little care when established. They are heat tolerant and actually prefer to be grown in poorer soils. The name comes from the manner in which they used to blanket North American prairies with their blooms. Gaillardias can still be found in fields and along roadsides in the prairie region and into the Rockies.,3,-40°,,8-12”,8-12”,,,Summer - Fall,,,,Attracts Butterflies; Deer Resistant; drought tolerant when established; massed. NATIVE; WILD FLOWER,15,,,,,
259,Arizona Series Red Shades Gaillardia,Gaillardia aristata,gay-LAR-dee-uh ar-iss-TAY-tuh,Blanket Flower,These plants require little care when established. They are heat tolerant and actually prefer to be grown in poorer soils. The name comes from the manner in which they used to blanket North American prairies with their blooms. Gaillardias can still be found in fields and along roadsides in the prairie region and into the Rockies.,3,-40°,,8-12”,8-12”,,,Summer - Fall,,,,Attracts Butterflies; Deer Resistant; drought tolerant when established; massed. NATIVE; WILD FLOWER,8,,,,,
260,Arizona Series Sun Gaillardia,Gaillardia aristata,gay-LAR-dee-uh ar-iss-TAY-tuh,Blanket Flower,These plants require little care when established. They are heat tolerant and actually prefer to be grown in poorer soils. The name comes from the manner in which they used to blanket North American prairies with their blooms. Gaillardias can still be found in fields and along roadsides in the prairie region and into the Rockies.,3,-40°,,12-15”,12-16”,,,Summer - Fall,,,,Attracts Butterflies; Deer Resistant; drought tolerant when established; massed. NATIVE; WILD FLOWER,15,,,,,
261,Spintop Series Copper Sun Gaillardia,Gaillardia aristata,gay-LAR-dee-uh ar-iss-TAY-tuh,Blanket Flower,These plants require little care when established. They are heat tolerant and actually prefer to be grown in poorer soils. The name comes from the manner in which they used to blanket North American prairies with their blooms. Gaillardias can still be found in fields and along roadsides in the prairie region and into the Rockies.,3,-40°,,8-12”,12-16”,,,Summer - Fall,,,,Attracts Butterflies; Deer Resistant; drought tolerant when established; massed. NATIVE; WILD FLOWER,8,,,,,
262,Spintop Series Red Starburst Gaillardia,Gaillardia aristata,gay-LAR-dee-uh ar-iss-TAY-tuh,Blanket Flower,These plants require little care when established. They are heat tolerant and actually prefer to be grown in poorer soils. The name comes from the manner in which they used to blanket North American prairies with their blooms. Gaillardias can still be found in fields and along roadsides in the prairie region and into the Rockies.,3,-40°,,8-12”,12-16”,,,Summer - Fall,,,,Attracts Butterflies; Deer Resistant; drought tolerant when established; massed. NATIVE; WILD FLOWER,8,,,,,
263,Spintop Series Yellow Halo Gaillardia,Gaillardia aristata,gay-LAR-dee-uh ar-iss-TAY-tuh,Blanket Flower,These plants require little care when established. They are heat tolerant and actually prefer to be grown in poorer soils. The name comes from the manner in which they used to blanket North American prairies with their blooms. Gaillardias can still be found in fields and along roadsides in the prairie region and into the Rockies.,4,-30°,,8-12”,12-16”,,,Summer - Fall,,,,Attracts Butterflies; Deer Resistant; drought tolerant when established; massed. NATIVE; WILD FLOWER,8,,,,,
264,Spintop Series Yellow Touch Gaillardia,Gaillardia aristata,gay-LAR-dee-uh ar-iss-TAY-tuh,Blanket Flower,These plants require little care when established. They are heat tolerant and actually prefer to be grown in poorer soils. The name comes from the manner in which they used to blanket North American prairies with their blooms. Gaillardias can still be found in fields and along roadsides in the prairie region and into the Rockies.,3,-40°,,8-12”,12-16”,,,Summer - Fall,,,,Attracts Butterflies; Deer Resistant; drought tolerant when established; massed. NATIVE; WILD FLOWER,8,,,,,
265,Sunrita Series Burgundy Improved Gaillardia,Gaillardia aristata,gay-LAR-dee-uh ar-iss-TAY-tuh,Blanket Flower,These plants require little care when established. They are heat tolerant and actually prefer to be grown in poorer soils. The name comes from the manner in which they used to blanket North American prairies with their blooms. Gaillardias can still be found in fields and along roadsides in the prairie region and into the Rockies.,3,-40°,,14-20”,12-18”,,,Summer - Fall,,,,Attracts Butterflies; Deer Resistant; drought tolerant when established; massed. NATIVE; WILD FLOWER,4.5,,,,,
266,Sunrita Series Golden Yellow Gaillardia,Gaillardia aristata,gay-LAR-dee-uh ar-iss-TAY-tuh,Blanket Flower,These plants require little care when established. They are heat tolerant and actually prefer to be grown in poorer soils. The name comes from the manner in which they used to blanket North American prairies with their blooms. Gaillardias can still be found in fields and along roadsides in the prairie region and into the Rockies.,3,-40°,,14-20”,12-18”,,,Summer - Fall,,,,Attracts Butterflies; Deer Resistant; drought tolerant when established; massed. NATIVE; WILD FLOWER,4.5,,,,,
267,Sunrita Series Red with Yellow Tip Gaillardia,Gaillardia aristata,gay-LAR-dee-uh ar-iss-TAY-tuh,Blanket Flower,These plants require little care when established. They are heat tolerant and actually prefer to be grown in poorer soils. The name comes from the manner in which they used to blanket North American prairies with their blooms. Gaillardias can still be found in fields and along roadsides in the prairie region and into the Rockies.,3,-40°,,14-20”,12-18”,,,Summer - Fall,,,,Attracts Butterflies; Deer Resistant; drought tolerant when established; massed. NATIVE; WILD FLOWER,4.5,,,,,
268,Sunrita Series Yellow with Red Ring Gaillardia,Gaillardia aristata,gay-LAR-dee-uh ar-iss-TAY-tuh,Blanket Flower,These plants require little care when established. They are heat tolerant and actually prefer to be grown in poorer soils. The name comes from the manner in which they used to blanket North American prairies with their blooms. Gaillardias can still be found in fields and along roadsides in the prairie region and into the Rockies.,3,-40°,,14-20”,12-18”,,,Summer - Fall,,,,Attracts Butterflies; Deer Resistant; drought tolerant when established; massed. NATIVE; WILD FLOWER,4.5,,,,,
269,Mesa Series Bright Bicolor Gaillardia,Gaillardia grandiflora,gay-LAR-dee-uh gran-duh-FLAW-ruh,Blanket Flower,These plants require little care when established. They are heat tolerant and actually prefer to be grown in poorer soils. The name comes from the manner in which they used to blanket North American prairies with their blooms. Gaillardias can still be found in fields and along roadsides in the prairie region and into the Rockies.,4,-40°,,16-18”,16-18”,,,Summer - Fall,,,,Attracts Butterflies; Deer Resistant; drought tolerant when established; massed. NATIVE; WILD FLOWER,4.5,,,,,
270,Mesa Series Peach Gaillardia,Gaillardia grandiflora,gay-LAR-dee-uh gran-duh-FLAW-ruh,Blanket Series,These plants require little care when established. They are heat tolerant and actually prefer to be grown in poorer soils. The name comes from the manner in which they used to blanket North American prairies with their blooms. Gaillardias can still be found in fields and along roadsides in the prairie region and into the Rockies.,4,-40°,,16-18”,20-22”,,,Summer - Fall,,,,Attracts Butterflies; Deer Resistant; drought tolerant when established; massed. NATIVE; WILD FLOWER,4.5,,,,,
